APPLICATION	TruckMaker 14.0 - Truck_Generic #2 (win64-14.0)
COMPILED	jetbrains@b5882e3d7d42 2024-11-26 13:07:28
 
		I/O Configuration: default
FIRST_INIT	(internal default used)	2025-03-07 16:51:09
TIME	0.000
SIM_END			0s	0m
IDLE	16:51:10
TIME	6.962
SIM_START	TempScenario(Volvo)	2025-03-07 16:52:20
TIME	0.000
SIMULATE	TempScenario(Volvo)

TIME	43.000
		Vel=45.0745   RPM=382.3593   CDF=0.0000
		Vel=45.0309   RPM=376.0680   CDF=0.0000
		Vel=44.9872   RPM=369.7263   CDF=0.0000
		Vel=44.9437   RPM=363.3340   CDF=0.0000
		Vel=44.9002   RPM=356.8913   CDF=0.0000
		Vel=44.8567   RPM=350.3937   CDF=0.0000
		Vel=44.8133   RPM=343.8244   CDF=0.0000
		Vel=44.7699   RPM=337.1834   CDF=0.0000
		Vel=44.7266   RPM=330.4725   CDF=0.0000
		Vel=44.6833   RPM=323.6933   CDF=0.0000
		Vel=44.6401   RPM=316.8436   CDF=0.0000
		Vel=44.5971   RPM=309.9161   CDF=0.0000
		Vel=44.5542   RPM=302.9142   CDF=0.0000
		Vel=44.5112   RPM=295.6600   CDF=0.0000
		Vel=44.4682   RPM=287.7391   CDF=0.0000
		Vel=44.4253   RPM=279.9509   CDF=0.0000
		Vel=44.3824   RPM=272.2775   CDF=0.0000
		Vel=44.3394   RPM=264.7033   CDF=0.0000
		Vel=44.2965   RPM=257.2257   CDF=0.0000
		Vel=44.2536   RPM=250.0266   CDF=0.0000
		Vel=44.2102   RPM=243.1822   CDF=0.0000
		Vel=44.1669   RPM=236.6591   CDF=0.0000
		Vel=44.1235   RPM=230.4222   CDF=0.0000
		Vel=44.0801   RPM=224.4403   CDF=0.0000
		Vel=44.0368   RPM=218.6848   CDF=0.0000
		Vel=43.9934   RPM=213.1306   CDF=0.0000
		Vel=43.9501   RPM=207.7548   CDF=0.0000
		Vel=43.9067   RPM=202.5370   CDF=0.0000
		Vel=43.8634   RPM=197.4591   CDF=0.0000
		Vel=43.8201   RPM=192.6249   CDF=0.0000
		Vel=43.7763   RPM=188.2988   CDF=0.0000
		Vel=43.7324   RPM=184.4471   CDF=0.0000
		Vel=43.6885   RPM=181.0090   CDF=0.0000
		Vel=43.6445   RPM=177.9332   CDF=0.0000
		Vel=43.6006   RPM=175.1763   CDF=0.0000
		Vel=43.5567   RPM=172.7016   CDF=0.0000
		Vel=43.5128   RPM=170.4777   CDF=0.0000
		Vel=43.4689   RPM=168.4774   CDF=0.0000
		Vel=43.4250   RPM=166.6774   CDF=0.0000
		Vel=43.3811   RPM=165.0570   CDF=0.0000
		Vel=43.3373   RPM=163.5982   CDF=0.0000
		Vel=43.2934   RPM=162.2852   CDF=0.0000
		Vel=43.2496   RPM=161.1037   CDF=0.0000
		Vel=43.2058   RPM=160.0412   CDF=0.0000
		Vel=43.1620   RPM=159.0864   CDF=0.0000
		Vel=43.1182   RPM=158.2294   CDF=0.0000
		Vel=43.0745   RPM=157.4611   CDF=0.0000
		Vel=43.0307   RPM=156.7734   CDF=0.0000
		Vel=42.9870   RPM=156.1588   CDF=0.0000
		Vel=42.9433   RPM=155.6107   CDF=0.0000
		Vel=42.8996   RPM=155.1232   CDF=0.0000
		Vel=42.8559   RPM=154.6908   CDF=0.0000
		Vel=42.8122   RPM=154.3086   CDF=0.0000
		Vel=42.7686   RPM=153.9721   CDF=0.0000
		Vel=42.7249   RPM=153.6773   CDF=0.0000
		Vel=42.6812   RPM=153.4207   CDF=0.0000
		Vel=42.6375   RPM=153.1990   CDF=0.0000
		Vel=42.5938   RPM=153.0091   CDF=0.0000
		Vel=42.5501   RPM=152.8486   CDF=0.0000
		Vel=42.5063   RPM=152.7148   CDF=0.0000
		Vel=42.4625   RPM=152.6058   CDF=0.0000
		Vel=42.4187   RPM=152.5196   CDF=0.0000
		Vel=42.3748   RPM=152.4544   CDF=0.0000
		Vel=42.3309   RPM=152.4086   CDF=0.0000
		Vel=42.2870   RPM=152.3810   CDF=0.0000
		Vel=42.2431   RPM=152.3701   CDF=0.0000
		Vel=42.1991   RPM=152.3747   CDF=0.0000
		Vel=42.1552   RPM=152.3940   CDF=0.0000
		Vel=42.1112   RPM=152.4267   CDF=0.0000
		Vel=42.0672   RPM=152.4722   CDF=0.0000
		Vel=42.0232   RPM=152.5296   CDF=0.0000
		Vel=41.9791   RPM=152.5981   CDF=0.0000
		Vel=41.9351   RPM=152.6772   CDF=0.0000
		Vel=41.8910   RPM=152.7661   CDF=0.0000
		Vel=41.8470   RPM=152.8643   CDF=0.0000
		Vel=41.8029   RPM=152.9712   CDF=0.0000
		Vel=41.7588   RPM=153.0864   CDF=0.0000
		Vel=41.7147   RPM=153.2093   CDF=0.0000
		Vel=41.6706   RPM=153.3394   CDF=0.0000
		Vel=41.6266   RPM=153.4762   CDF=0.0000
		Vel=41.5825   RPM=153.6194   CDF=0.0000
		Vel=41.5384   RPM=153.7682   CDF=0.0000
		Vel=41.4943   RPM=153.9224   CDF=0.0000
		Vel=41.4503   RPM=154.0813   CDF=0.0000
		Vel=41.4062   RPM=154.2443   CDF=0.0000
		Vel=41.3622   RPM=154.4110   CDF=0.0000
		Vel=41.3181   RPM=154.5808   CDF=0.0000
		Vel=41.2741   RPM=154.7532   CDF=0.0000
		Vel=41.2302   RPM=154.9277   CDF=0.0000
		Vel=41.1862   RPM=155.1038   CDF=0.0000
		Vel=41.1423   RPM=155.2808   CDF=0.0000
		Vel=41.0984   RPM=155.4582   CDF=0.0000
